nome_bairr,Vencedor
INDAIA,Null
Jardim Jaqueira,Null
Jardim Aruan,Null
TINGA,Null
JARAGUAZINHO,Null
RIO DO OURO,Null
PONTE SECA,Null
JD CALIFORNIA,Null
Caputera,Null
Benfica,Null
Camaroeiro,Null
IPIRANGA,Null
CASA BRANCA,Null
Delfim Verde,Null
OLARIA,Null
Capric�rnio II,Null
Capric�rnio,Null
JETUBA,Null
MASSAGUAÇU,Null
CENTRO,Null
PRAIA DAS PALMEIRAS,Null
Cocanha,Null
PEGORELI,Null
ESTRELA D’ALVA,Null
Prainha,Null
Mococa,Null
Jardim Primavera,Null
Canta Galo,Null
Jardim Santa Rosa,Null
MARTIM DE SÁ,Null
PEREQUE MIRIM,Null
TRAVESSAO,Null
POIARES,Null
Jardim Britania,Null
GAIVOTAS,Null
GOLFINHOS,Null
PONTAL SANTA MARINA,Null
SUMARÉ,Null
Cidade Jardim,Null
Jardim Atlantico,Null
MORRO DO ALGODAO,Null
PORTO NOVO,Null
BARRANCO ALTO,Null
Bairro Serramar,Null
Capric�rnio III,Null
Alto Jetuba,Null
RIO CLARO,Null
Po�o das Antas,Null
TABATINGA,Null
